title	scholar_bibliographic_line	seen_on
Searching for majority with k-tuple queries	G De Marco, E Kranakis - Discrete Mathematics, Algorithms and …, 2015 - World Scientific	Aigner 1988 p13
A combinatorial model of two-sided search	H Aydinian, F Cicalese, C Deppe… - International Journal of …, 2018 - World Scientific	Aigner 1988 p13
Rounds in combinatorial search	G Wiener - Algorithmica, 2013 - Springer	Aigner 1988 p13; Aigner 1988 p18
[HTML][HTML] A competitive algorithm in searching for many edges in a hypergraph	T Chen, FK Hwang - Discrete applied mathematics, 2007 - Elsevier	Aigner 1988 p13
Some results on elusive graph properties	E Triesch - SIAM Journal on Computing, 1994 - SIAM	Aigner 1988 p13
Problem models for rule based planning	A Lindsay - 2015 - stax.strath.ac.uk	Aigner 1988 p13
Minimax trees in linear time with applications	P Gawrychowski, T Gagie - International Workshop on Combinatorial …, 2009 - Springer	Aigner 1988 p13
[PDF][PDF] Minimal interaction search: Multi-way search with item categories	S Bhamidipati, B Kveton… - Proceedings of AAAI …, 2013 - cdn.aaai.org	Aigner 1988 p13
Searching for acyclic orientations of graphs	M Aigner, E Triesch, Z Tuza - Discrete mathematics, 1995 - Elsevier	Aigner 1988 p13
From Search to Coding (and Back): Two Sides of the Same Coin	R Bruno - 2026 - tesidottorato.depositolegale.it	Aigner 1988 p14
An application of design space for assembly process reasoning to utilize current assembly plant resources for new product family members	Z Siddique, L Wilmes - Journal of Intelligent Manufacturing, 2007 - Springer	Aigner 1988 p14
Optimal Hypergraph Connectivity with CUT Queries	H Liao - 2025 - search.proquest.com	Aigner 1988 p14
The plurality problem with three colors	M Aigner, G De Marco, M Montangero - Annual Symposium on Theoretical …, 2004 - Springer	Aigner 1988 p14
Systematic acquisition of generic 3D building model knowledge	R Englert - Semantic Modeling for the Acquisition of Topographic …, 1997 - books.google.com	Aigner 1988 p14
[HTML][HTML] Searching for a counterfeit coin with two unreliable weighings	WA Liu, QM Zhang, ZK Nie - Discrete applied mathematics, 2005 - Elsevier	Aigner 1988 p14; Gargano 1992 p2
[HTML][HTML] On optimal randomized group testing with one defective item and a constrained number of positive responses	Y Cheng, Y Yang, DZ Du - Discrete Optimization, 2021 - Elsevier	Aigner 1988 p14
[HTML][HTML] Searching for two counterfeit coins with two-arms balance	WA Liu, WG Zhang, ZK Nie - Discrete applied mathematics, 2005 - Elsevier	Aigner 1988 p14; Gargano 1992 p2
Efficient relational joins with arithmetic constraints on multiple attributes	C Liu, L Yang, I Foster - 9th International Database Engineering …, 2005 - ieeexplore.ieee.org	Aigner 1988 p15
[PDF][PDF] Unsolved problems	EBYR GUY - Amer. Math. Monthly, 1981 - renyi.hu	Aigner 1988 p15
Finding an unknown acyclic orientation of a given graph	O Pikhurko - Combinatorics, Probability and Computing, 2010 - cambridge.org	Aigner 1988 p15
Group-testing on hypergraphs with variable-cost tests: A power systems case study	LA Clarfeld, MJ Eppstein - arXiv preprint arXiv:1909.04513, 2019 - arxiv.org	Aigner 1988 p15
Cooperation in combinatorial search: D. Gerbner et al.	D Gerbner, B Keszegh, K Nagy, B Patkós, G Wiener - Optimization Letters, 2025 - Springer	Aigner 1988 p15
[PDF][PDF] Optimal strategies for a model of combinatorial two-sided search	H Aydinian, F Cicalese, C Deppe… - Proccedings of the …, 2013 - moi.math.bas.bg	Aigner 1988 p15
[CITATION][C] Reconstructing a Hamiltonian circuit by querying the graph: Application to DNA physical mapping	V Grebinski, G Kucherov - INRIA-Lorraine and CRIN/CNRS, Campus …, 1996 - Citeseer	Aigner 1988 p15
Enhanced search method for ontology classification	JM Kim, SH Kwon, YT Park - 2008 IEEE International Workshop …, 2008 - ieeexplore.ieee.org	Aigner 1988 p15
